,Nom d'utilisateur,Following,Followers,Nombre total de tweet,Nombre de retweet,Contenu brut,Contenu tokenisé,Hashtags,Date
0,RamelValerie,121,215,19853,706,La « taxe carbone aux frontières » qui fera payer aux importations leur juste prix du carbone est votée par le Parlement 🇪🇺C’est une première mondiale et une grande victoire politique.,"['taxe', 'carbone', 'frontiere', 'faire', 'payer', 'importation', 'prix', 'carbone', 'voter', 'parlement', 'mondial', 'grand', 'victoire', 'politique']",[],2022-06-23
1,mouns_elm,268,21,864,0,Tout les mois le lendemain de la paye quand ma mif me demande des sous alors qu’ils m’ont déjà tous taxé ces fumiers https://t.co/s6PLWFsQBu,"['mois', 'lendemain', 'payer', 'mif', 'demande', 'taxer', 'fumier']",[],2022-06-23
2,bonmartel76180,4992,1545,39688,8,"Aujourd'hui se tient le dernier Conseil 🇪🇺 sous présidence 🇨🇵.

#PFUE2022, c'est la taxe carbone aux frontières, Eurodac et le règlement filtrage, les salaires minimums, six paquets de sanctions contre la 🇷🇺, un avenir numérique, etc. https://t.co/YwPzFWMmSK","[""aujourd'hui"", 'tenir', 'dernier', 'conseil', 'presidence', 'pfue2022', 'taxe', 'carbone', 'frontiere', 'eurodac', 'reglement', 'filtrage', 'salaire', 'minimum', 'paquet', 'sanction', 'contre', 'avenir', 'numerique', 'etc.']",['PFUE2022'],2022-06-23
3,BetoKavalcante,47,429,21089,0,"#Biden veut suspendre la taxe fédérale sur le prix de l'essence pendant trois mois

La valeur du carburant a monté en flèche ces derniers temps ; mesure est critiquée dans le champ politique du président","['vouloir', 'suspendre', 'taxe', 'federal', 'prix', 'essence', 'mois', 'valeur', 'carburant', 'monter', 'fleche', 'dernier', 'temps', 'mesure', 'critiquer', 'champ', 'politique', 'president']",['Biden'],2022-06-23
4,liloufalco,54,2,648,117,"Avancée historique pour clôturer la Présidence française de l’🇪🇺:l’adoption en plénière de la taxe carbone aux frontières ! Après un épisode de blocage, un bel exemple de consensus européen fondé sur le pragmatisme. Et si notre Assemblée nationale s’en inspirait ? Merci @pcanfin https://t.co/gHLYh9f0G0","['avancee', 'historique', 'cloturer', 'presidence', 'francais', "":l'"", 'adoption', 'pleniere', 'taxe', 'carbone', 'frontiere', 'episode', 'blocage', 'bel', 'exemple', 'consensus', 'europeen', 'fonder', 'pragmatisme', 'assemblee', 'national', 'inspirer']",[],2022-06-23
5,h4_off,104,78,6946,0,@BFMTV News de @Bruce_Toussaint ... le même qui a taxé @raoult_didier de complotiste 😂😂😂 Et on veut nous faire croire que ce gars est journaliste et compétent !,"['news', 'taxer', 'complotiste', 'vouloir', 'faire', 'croire', 'gars', 'journaliste', 'competent']",[],2022-06-23
6,RamelValerie,121,215,19853,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
7,SaintMi52102554,3325,1317,16297,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
8,zwhaendel48,598,506,49826,451,"Victoire historique pour le climat : la taxe carbone aux frontières de l’🇪🇺 est votée par le Parlement européen. 

Portée par la France depuis 15 ans, cette taxe est une avancée majeure dans la lutte contre le dumping environnemental. @pcanfin #FitFor55 #PaquetClimat #PFUE2022","['historique', 'climat', 'taxe', 'carbone', 'frontiere', 'voter', 'parlement', 'europeen', 'porter', 'france', '15', 'an', 'taxe', 'avancee', 'majeur', 'lutte', 'contre', 'dumping', 'environnemental', 'fitfor55', 'paquetclimat', 'pfue2022']",[],2022-06-23
9,JuergenHaxen,81,3,64,706,La « taxe carbone aux frontières » qui fera payer aux importations leur juste prix du carbone est votée par le Parlement 🇪🇺C’est une première mondiale et une grande victoire politique.,"['taxe', 'carbone', 'frontiere', 'faire', 'payer', 'importation', 'prix', 'carbone', 'voter', 'parlement', 'mondial', 'grand', 'victoire', 'politique']",[],2022-06-23
10,liloufalco,54,2,648,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
11,teammoderes,992,3238,976,8,"Aujourd'hui se tient le dernier Conseil 🇪🇺 sous présidence 🇨🇵.

#PFUE2022, c'est la taxe carbone aux frontières, Eurodac et le règlement filtrage, les salaires minimums, six paquets de sanctions contre la 🇷🇺, un avenir numérique, etc. https://t.co/YwPzFWMmSK","[""aujourd'hui"", 'tenir', 'dernier', 'conseil', 'presidence', 'pfue2022', 'taxe', 'carbone', 'frontiere', 'eurodac', 'reglement', 'filtrage', 'salaire', 'minimum', 'paquet', 'sanction', 'contre', 'avenir', 'numerique', 'etc.']",['PFUE2022'],2022-06-23
12,SamVabien9,320,396,4431,451,"Victoire historique pour le climat : la taxe carbone aux frontières de l’🇪🇺 est votée par le Parlement européen. 

Portée par la France depuis 15 ans, cette taxe est une avancée majeure dans la lutte contre le dumping environnemental. @pcanfin #FitFor55 #PaquetClimat #PFUE2022","['historique', 'climat', 'taxe', 'carbone', 'frontiere', 'voter', 'parlement', 'europeen', 'porter', 'france', '15', 'an', 'taxe', 'avancee', 'majeur', 'lutte', 'contre', 'dumping', 'environnemental', 'fitfor55', 'paquetclimat', 'pfue2022']",[],2022-06-23
13,NicoViteRN,200,128,8262,298,"L’Espagne, en s’extirpant du carcan  européen dans le secteur, fait passer la TVA sur l'électricité de 21% à 5%, mesure financée par une taxe sur les bénéfices des grandes entreprises énergétiques. Précisément ce que nous défendons depuis des mois ! Qu’attend le gouvernement ? https://t.co/onQm60yHBo","['espagne', 'extirper', 'carcan', 'europeen', 'secteur', 'passer', 'tva', 'electricite', '21', 'mesure', 'financer', 'taxe', 'benefice', 'grand', 'entreprise', 'energetique', 'precisement', 'defendre', 'mois', 'attendre', 'gouvernement']",[],2022-06-23
14,themonioone,108,677,8887,0,@L_histoirien @Melguen Hors taxe.,['taxe'],[],2022-06-23
15,TakeElite,715,883,9000,0,"@SystemNebuleuse @Rosteezz @RayonnanteGaga Mais si tu augmentes le smic a 3k, les prix vont suivre automatiquement. Tu taxe a 100% les benefs sur l'invest locatif au dela du 2e bien ca va baisser auto les loyer et éviter la speculation, taxe tobin sur la speculation, légalisation des drogues, impôt sur la nationalité","['augmente', 'smic', '3k', 'prix', 'automatiquement', 'taxe', '100', 'benef', 'invest', 'locatif', 'dela', 'deuxieme', 'bien', 'ca', 'baisser', 'auto', 'loyer', 'eviter', 'speculation', 'taxe', 'speculation', 'legalisation', 'drogue', 'impot', 'nationalite']",[],2022-06-23
16,MarchalNokota,70,11,257,0,@pcanfin Plus qu'à faire payer une taxe sociale pour mettre fin à la concurrence des pays à bas salaires,"['faire', 'payer', 'taxe', 'social', 'mettre', 'fin', 'concurrence', 'pays', 'salaire']",[],2022-06-23
17,SamuelCoutureQc,255,157,4321,44,"Je vais déplaire à tout le monde. Correct. C'est à ça que je suis le meilleur : le nombre de voyageurs en avion est une indication claire que la taxe carbone n'est pas assez élevée. En la doublant, nous allons régler le problème de pollution et d'émission des passeports.","['deplaire', 'monde', 'correct', 'meilleur', 'nombre', 'voyageur', 'avion', 'indication', 'clair', 'taxe', 'carbone', 'eleve', 'doubler', 'regler', 'probleme', 'pollution', 'emission', 'passeport']",[],2022-06-23
18,ML9693,1394,1365,110112,101,"Alors que les Américains paient l’essence beaucoup moins cher que les Québécois, le président Bidon s’apprête à suspendre la taxe fédérale sur l’essence. https://t.co/FaaGHBzzyw","['americain', 'payer', 'essence', 'beaucoup', 'cher', 'quebecois', 'president', 'apprete', 'suspendre', 'taxe', 'federal', 'essence']",[],2022-06-23
19,RoselineB83,1354,1608,113321,0,"@pcanfin Est-ce que le gaz de schiste étatsunien ultra-polluant est inclus dans cette ""taxe aux frontières"". 
La logique voudrait que oui, mais ces derniers temps la logique économique occidentale ....","['-ce', 'gaz', 'schiste', 'etatsunien', 'ultra-polluer', 'inclure', 'taxe', 'frontiere', 'logique', 'vouloir', 'oui', 'dernier', 'temps', 'logique', 'economique', 'occidental']",[],2022-06-23
20,Samslifeinpiec2,369,199,19725,2,"""Après l'arrêt du Conseil d'État, il n'y a plus aucune coalition qui peut dire qu'une taxation plus lourde des multinationales ne peut pas être faite. C'est possible. Si une telle taxe n’est pas mise en place, c'est une question de volonté politique"" De Morgen sur #Zelzate https://t.co/214OagPEzv","['arret', 'conseil', 'etat', 'aucun', 'coalition', 'taxation', 'lourd', 'multinationale', 'faire', 'taxe', 'mettre', 'place', 'question', 'volonte', 'politique', 'zelzate']",[],2022-06-23
21,ZeBoris_,663,2567,40634,109,"Entre 24 heures  ns avons en 🇪🇺 voté la taxe carbone aux frontières, adopté les 1eres clauses miroirs pour protéger nos agriculteurs de la concurrence déloyale, et 7 autres mesures phares pr le climat ⬇️ Une semaine clé et positive…. https://t.co/xu64Xwkfzr","['24', 'heure', 'ns', 'voter', 'taxe', 'carbone', 'frontiere', 'adopter', '1ere', 'clause', 'miroir', 'proteger', 'agriculteur', 'concurrence', 'deloyal', 'mesure', 'phare', 'pr', 'climat', 'semaine', 'cler', 'positif']",[],2022-06-23
22,christinetregou,586,833,117707,14,"Voilà de l'information importante, une réussite de l'UE et de l'action du Président Macron qui passe totalement inaperçue :
La « taxe carbone aux frontières » qui fera payer aux importations leur juste prix du carbone est votée par le Parlement européen 🙂👏🇪🇺 https://t.co/DsqBZkfqiG","['information', 'important', 'reussite', 'ue', 'action', 'passer', 'totalement', 'inapercue', 'taxe', 'carbone', 'frontiere', 'faire', 'payer', 'importation', 'prix', 'carbone', 'voter', 'parlement', 'europeen']",[],2022-06-23
23,gasedusax,232,54,1098,0,@hellody_LB @Frannycrazy08 @papanours60 J’ai un collègue qui a fait votre choix il a renoncé à un bon salaire pour aller faire maraîcher et diviser son salaire par deux .. la difference c qu’il est même de personne ! Il l’assume et ne pleurniche pas ou ne taxe pas ceux qui pensent différemment de collabo,"['collegue', 'choix', 'renoncer', 'bon', 'salaire', 'aller', 'faire', 'maraicher', 'diviser', 'salaire', 'difference', 'assume', 'pleurniche', 'taxe', 'penser', 'differemment', 'collabo']",[],2022-06-23
24,Narno,494,3073,32853,0,"@EllipSIG @ignorantcowboy ""Les cyclistes ne paient aucune taxe pour l'utilisation de la route"".
On ne doit pas vivre dans le même pays 😂","['cycliste', 'payer', 'aucun', 'taxe', 'utilisation', 'route', 'vivre', 'pays']",[],2022-06-23
25,DenisBeaumont05,46,3,32,0,@LucFerrandez Ah la taxe…les taxes… quel moyen brillant de ralentir la pollution sale au carbone. Vous êtes un personage minable du dôme Montreal… dangereux communisme,"['taxe', 'taxe', 'moyen', 'brillant', 'ralentir', 'pollution', 'sale', 'carbone', 'etre', 'personage', 'minable', 'dome', 'montreal', 'dangereux', 'communisme']",[],2022-06-23
26,HandcoFr,254,40,1530,0,"@gerardfiloche @c_chaudier Et si on parlait CSG/RDS juste pour rire, ni taxe ni impôt, merci à Mr Rocard qui nous a fait passé ça comme un supo rétroactivement en plus.","['parler', 'csg', 'rd', 'rire', 'taxe', 'impot', 'passer', 'supo', 'retroactivement']",[],2022-06-23
27,thyzeau,446,331,13395,28,"#paquetclimat Le Parlement européen corrige sa copie et adopte une taxe carbone aux frontières, un fonds pour aider les plus précaires et un marché carbone -à peine- plus ambitieux.
Compromis trouvé ! La balle est dans le camp des Etats-membres qui n'ont toujours pas tranché.","['paquetclimat', 'parlement', 'europeen', 'corriger', 'copie', 'adopte', 'taxe', 'carbone', 'frontiere', 'fonds', 'aider', 'precaire', 'marche', 'carbone', '-a', 'peine-', 'ambitieux', 'compromis', 'trouver', 'balle', 'camp', 'etat', 'membre', 'trancher']",['paquetclimat'],2022-06-23
28,RolandRabeau,2552,3562,29347,28,"#paquetclimat Le Parlement européen corrige sa copie et adopte une taxe carbone aux frontières, un fonds pour aider les plus précaires et un marché carbone -à peine- plus ambitieux.
Compromis trouvé ! La balle est dans le camp des Etats-membres qui n'ont toujours pas tranché.","['paquetclimat', 'parlement', 'europeen', 'corriger', 'copie', 'adopte', 'taxe', 'carbone', 'frontiere', 'fonds', 'aider', 'precaire', 'marche', 'carbone', '-a', 'peine-', 'ambitieux', 'compromis', 'trouver', 'balle', 'camp', 'etat', 'membre', 'trancher']",['paquetclimat'],2022-06-23
29,c_malouin,74,6,195,101,"Alors que les Américains paient l’essence beaucoup moins cher que les Québécois, le président Bidon s’apprête à suspendre la taxe fédérale sur l’essence. https://t.co/FaaGHBzzyw","['americain', 'payer', 'essence', 'beaucoup', 'cher', 'quebecois', 'president', 'apprete', 'suspendre', 'taxe', 'federal', 'essence']",[],2022-06-23
30,GlowingBelgium,250,39,580,9,"#Ecolo veut instaurer une new taxe de 50€ pour tous les Wallons dans sa réforme fiscale automobile pour l’usage du réseau routier. Une vignette juste payée par les Wallons et pas par les étrangers qui traverseront la Wallonie! 😏
Bref : #Ecolo dehors #ParlWal","['ecolo', 'vouloir', 'instaurer', 'new', 'taxe', '50', 'wallon', 'reforme', 'fiscal', 'automobile', 'usage', 'reseau', 'routier', 'vignette', 'payer', 'wallon', 'etranger', 'traverser', 'wallonie', 'bref', 'ecolo']",['Ecolo'],2022-06-23
31,odvcec,27,0,1,298,"L’Espagne, en s’extirpant du carcan  européen dans le secteur, fait passer la TVA sur l'électricité de 21% à 5%, mesure financée par une taxe sur les bénéfices des grandes entreprises énergétiques. Précisément ce que nous défendons depuis des mois ! Qu’attend le gouvernement ? https://t.co/onQm60yHBo","['espagne', 'extirper', 'carcan', 'europeen', 'secteur', 'passer', 'tva', 'electricite', '21', 'mesure', 'financer', 'taxe', 'benefice', 'grand', 'entreprise', 'energetique', 'precisement', 'defendre', 'mois', 'attendre', 'gouvernement']",[],2022-06-23
32,CoachDeVente,163,3675,113540,0,L’Europe adopte (enfin) sa taxe carbone https://t.co/Ja2tm1s447 https://t.co/AHcWV5mY5l,"['europe', 'adopte', 'taxe', 'carbone']",[],2022-06-23
33,WeberSwann,709,248,8833,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
34,kouga_kouga__,1457,7034,58978,0,@callmejay2403 On taxe jusqu'à tu ne peux pas dire quelque chose 😂😂😂😂,"['taxe', 'jusque', 'chose']",[],2022-06-23
35,kbkabou,278,109,1406,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
36,fatima_zaraba,969,501,1729,2,"🍃🏭 L’Europe adopte (enfin) sa taxe carbone

 ➡️ Taxe carbone sur les importations hors UE
 ➡️ Quotas payants pour de nouveaux secteurs
 ➡️ Suppression des quotas d'émissions gratuits

💬 @CocquempotN https://t.co/m1OocD7LQ8","['europe', 'adopte', 'taxe', 'carbone', 'taxe', 'carbone', 'importation', 'ue', 'quota', 'payant', 'nouveau', 'secteur', 'suppression', 'quota', 'emission', 'gratuit']",[],2022-06-23
37,Benedicte4975,1070,257,5449,8,"Aujourd'hui se tient le dernier Conseil 🇪🇺 sous présidence 🇨🇵.

#PFUE2022, c'est la taxe carbone aux frontières, Eurodac et le règlement filtrage, les salaires minimums, six paquets de sanctions contre la 🇷🇺, un avenir numérique, etc. https://t.co/YwPzFWMmSK","[""aujourd'hui"", 'tenir', 'dernier', 'conseil', 'presidence', 'pfue2022', 'taxe', 'carbone', 'frontiere', 'eurodac', 'reglement', 'filtrage', 'salaire', 'minimum', 'paquet', 'sanction', 'contre', 'avenir', 'numerique', 'etc.']",['PFUE2022'],2022-06-23
38,Mustapha_MCS,832,1787,78760,0,Alors Quoi De Neuf ? 🤔 toujours pas de taxe de séjour contre les pollueurs ? les habitants des quartiers nord de la cité phocéenne n'en peuvent plus 😉 vous avez pourtant déposé le vendredi 22 juin 2018 un amendement ….. https://t.co/MWQ8GNhCwl,"['neuf', 'taxe', 'sejour', 'contre', 'pollueur', 'habitant', 'quartier', 'nord', 'cite', 'phoceen', 'avoir', 'pourtant', 'deposer', 'vendredi', '22', 'juin', '2018', 'amendement']",[],2022-06-23
39,viallejm,17,55,10325,0,@WacheuxMickael @Vincent59138206 @pcanfin Et eux ils vont la payer la taxe? https://t.co/v1kYzbiiGz,"['payer', 'taxe']",[],2022-06-23
40,AlproAlmond,73,2,86,0,"@nlevasseur783 @ColmezPierre Salaire d’un prof à Standford $145K/an.
Une excellente assurance médicale.
Les écoles primaires, collèges et lycées publics sont excellents et financés par l’équivalent de la taxe foncière.","['salaire', 'prof', 'standford', '145k', 'an', 'excellent', 'assurance', 'medical', 'ecole', 'primaire', 'college', 'lycee', 'public', 'excellent', 'financer', 'equivalent', 'taxe', 'foncier']",[],2022-06-23
41,CocquempotN,192,180,87,2,"🍃🏭 L’Europe adopte (enfin) sa taxe carbone

 ➡️ Taxe carbone sur les importations hors UE
 ➡️ Quotas payants pour de nouveaux secteurs
 ➡️ Suppression des quotas d'émissions gratuits

💬 @CocquempotN https://t.co/m1OocD7LQ8","['europe', 'adopte', 'taxe', 'carbone', 'taxe', 'carbone', 'importation', 'ue', 'quota', 'payant', 'nouveau', 'secteur', 'suppression', 'quota', 'emission', 'gratuit']",[],2022-06-23
42,bfmbusiness,1569,229637,136270,2,"🍃🏭 L’Europe adopte (enfin) sa taxe carbone

 ➡️ Taxe carbone sur les importations hors UE
 ➡️ Quotas payants pour de nouveaux secteurs
 ➡️ Suppression des quotas d'émissions gratuits

💬 @CocquempotN https://t.co/m1OocD7LQ8","['europe', 'adopte', 'taxe', 'carbone', 'taxe', 'carbone', 'importation', 'ue', 'quota', 'payant', 'nouveau', 'secteur', 'suppression', 'quota', 'emission', 'gratuit']",[],2022-06-23
43,Skeptic_j,3176,4224,105944,0,"Si ça arrive et que les vols deviennent trop chers=&gt; l’aéroport de Burlington est à 2h de Montréal. 

Parking moins chers
Vols moins chers
Moins de commies
Pas de taxe carbone

#protip https://t.co/BsFaIQbnvG","['arrive', 'vol', 'devenir', 'trop', 'chers=&gt', 'aeroport', 'burlington', '2h', 'montreal', 'parking', 'cher', 'vol', 'cher', 'commies', 'taxe', 'carbone', 'protip']",['protip'],2022-06-23
44,kary_caroline,299,93,3085,115,La réforme du marché du carbone et le fonds social climat sont votées par le Parlement 🇪🇺! C’est une grande avancée pour l’action climatique. Nous votons maintenant sur la taxe carbone aux frontières,"['reforme', 'marche', 'carbone', 'fonds', 'social', 'climat', 'voter', 'parlement', 'grand', 'avancee', 'action', 'climatique', 'voter', 'taxe', 'carbone', 'frontiere']",[],2022-06-23
45,Tiblibli,1312,1523,62397,706,La « taxe carbone aux frontières » qui fera payer aux importations leur juste prix du carbone est votée par le Parlement 🇪🇺C’est une première mondiale et une grande victoire politique.,"['taxe', 'carbone', 'frontiere', 'faire', 'payer', 'importation', 'prix', 'carbone', 'voter', 'parlement', 'mondial', 'grand', 'victoire', 'politique']",[],2022-06-23
46,ABeaumort,1070,134,553,8,"Aujourd'hui se tient le dernier Conseil 🇪🇺 sous présidence 🇨🇵.

#PFUE2022, c'est la taxe carbone aux frontières, Eurodac et le règlement filtrage, les salaires minimums, six paquets de sanctions contre la 🇷🇺, un avenir numérique, etc. https://t.co/YwPzFWMmSK","[""aujourd'hui"", 'tenir', 'dernier', 'conseil', 'presidence', 'pfue2022', 'taxe', 'carbone', 'frontiere', 'eurodac', 'reglement', 'filtrage', 'salaire', 'minimum', 'paquet', 'sanction', 'contre', 'avenir', 'numerique', 'etc.']",['PFUE2022'],2022-06-23
47,Al_Feu,243,333,9310,706,La « taxe carbone aux frontières » qui fera payer aux importations leur juste prix du carbone est votée par le Parlement 🇪🇺C’est une première mondiale et une grande victoire politique.,"['taxe', 'carbone', 'frontiere', 'faire', 'payer', 'importation', 'prix', 'carbone', 'voter', 'parlement', 'mondial', 'grand', 'victoire', 'politique']",[],2022-06-23
48,therese4648,770,1503,99280,8,"Aujourd'hui se tient le dernier Conseil 🇪🇺 sous présidence 🇨🇵.

#PFUE2022, c'est la taxe carbone aux frontières, Eurodac et le règlement filtrage, les salaires minimums, six paquets de sanctions contre la 🇷🇺, un avenir numérique, etc. https://t.co/YwPzFWMmSK","[""aujourd'hui"", 'tenir', 'dernier', 'conseil', 'presidence', 'pfue2022', 'taxe', 'carbone', 'frontiere', 'eurodac', 'reglement', 'filtrage', 'salaire', 'minimum', 'paquet', 'sanction', 'contre', 'avenir', 'numerique', 'etc.']",['PFUE2022'],2022-06-23
49,christinetregou,586,833,117707,706,La « taxe carbone aux frontières » qui fera payer aux importations leur juste prix du carbone est votée par le Parlement 🇪🇺C’est une première mondiale et une grande victoire politique.,"['taxe', 'carbone', 'frontiere', 'faire', 'payer', 'importation', 'prix', 'carbone', 'voter', 'parlement', 'mondial', 'grand', 'victoire', 'politique']",[],2022-06-23
50,AZWoodMedia,137,54,4459,0,"@Renaissance_UE @EmmanuelMacron Avec une taxe carbone à ses frontières, l’🇪🇺 qui subit déjà de plein fouet les sanctions russes (gaz) n'a pas fini d'être un repoussoir pour les investisseurs. Les produits importés seront aussi/plus chers que les produits de l'UE. L'UE finira par avoir la peau du consommateur ! https://t.co/LyhhekbRBq","['taxe', 'carbone', 'frontiere', 'subir', 'plein', 'fouet', 'sanction', 'russe', 'gaz', 'finir', 'repoussoir', 'investisseur', 'produit', 'importer', 'cher', 'produit', 'ue', 'ue', 'finir', 'peau', 'consommateur']",[],2022-06-23
51,FlorentDuval12,298,24,380,0,@EllipSIG @ignorantcowboy Attend on paye aucune taxe pour la route ? Pourquoi je me fait chier à payer des impôts ?,"['attendre', 'payer', 'aucun', 'taxe', 'route', 'chier', 'payer', 'impot']",[],2022-06-23
52,JeromeRider,517,462,76459,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
53,Perrot10V,1437,1695,40262,8,"Taxe carbone aux frontières en Europe et fin des quotas gratuits d’émissions : la droite au Parlement 🇪🇺, comme à son habitude, a obtenu “une mise en place plus progressive, plus lente” 

Et tant pis pour nos objectifs climatiques 2030 🥲 #FitForWhat https://t.co/LsLjujifmO","['taxe', 'carbone', 'frontiere', 'europe', 'fin', 'quota', 'gratuit', 'emission', 'droite', 'parlement', 'habitude', 'obtenir', 'mise', 'place', 'progressif', 'lent', 'pis', 'objectif', 'climatique', '2030', 'fitforwhat']",[],2022-06-23
54,jose_comte,37,42,1084,3,@J_Bardella @LEURINChristop1 J'avais fait une projection sur la mesure que préconisait MLP en baissant à 5.5% la TVA sur les carburants et en ne taxant plus la TICPE qui est déjà une taxe https://t.co/ksWh0oCcwA,"['projection', 'mesure', 'preconiser', 'mlp', 'baisser', '5.5', 'tva', 'carburant', 'taxer', 'ticpe', 'taxe']",[],2022-06-23
55,BQueveuxtuquela,4985,2723,107714,8,"Aujourd'hui se tient le dernier Conseil 🇪🇺 sous présidence 🇨🇵.

#PFUE2022, c'est la taxe carbone aux frontières, Eurodac et le règlement filtrage, les salaires minimums, six paquets de sanctions contre la 🇷🇺, un avenir numérique, etc. https://t.co/YwPzFWMmSK","[""aujourd'hui"", 'tenir', 'dernier', 'conseil', 'presidence', 'pfue2022', 'taxe', 'carbone', 'frontiere', 'eurodac', 'reglement', 'filtrage', 'salaire', 'minimum', 'paquet', 'sanction', 'contre', 'avenir', 'numerique', 'etc.']",['PFUE2022'],2022-06-23
56,AuSeEc2,2006,664,32360,8,"Aujourd'hui se tient le dernier Conseil 🇪🇺 sous présidence 🇨🇵.

#PFUE2022, c'est la taxe carbone aux frontières, Eurodac et le règlement filtrage, les salaires minimums, six paquets de sanctions contre la 🇷🇺, un avenir numérique, etc. https://t.co/YwPzFWMmSK","[""aujourd'hui"", 'tenir', 'dernier', 'conseil', 'presidence', 'pfue2022', 'taxe', 'carbone', 'frontiere', 'eurodac', 'reglement', 'filtrage', 'salaire', 'minimum', 'paquet', 'sanction', 'contre', 'avenir', 'numerique', 'etc.']",['PFUE2022'],2022-06-23
57,mariane_ouellet,221,48,2498,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
58,cameroonmag,295,658,182016,0,"Hôtellerie : La taxe de séjour génère 406 millions de FCFA en 5 mois, traduisant une reprise des activités post-Covid https://t.co/4CgIlyEELC","['hotellerie', 'taxe', 'sejour', 'generer', '406', 'million', 'fcfa', 'mois', 'traduire', 'reprise', 'activite', 'post-covid']",[],2022-06-23
59,DominiqueDomi91,613,440,19264,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
